Nama,Deskripsi,Kategori,Restoran,Harga,Rating,Foto
Bakpia Pathok Bantal,Kue isi empuk khas Jogja,Oleh-oleh,Bakpia Tugu,30000,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.wsrentaljogja.com%2Fbakpia-kukus-tugu-jogja%2F&psig=AOvVaw0duT-Uc4x91-O_LfazPZnT&ust=1728472455584000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJjViefT_ogDFQAAAAAdAAAAABAQ
Sayur Lombok Ijo,Sayur tempe pedas khas Jogja,Makanan Pelengkap,Warung Sayur Tradisional Utama,18000,4,https://www.google.com/url?sa=i&url=https%3A%2F%2Ffibercreme.com%2Fresep-sayur-lombok-ijo%2F&psig=AOvVaw0_aNV4tPLcnKE7jm1Lnz_S&ust=1728472521353000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKCH04XU_ogDFQAAAAAdAAAAABAE
Gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Yu Djum Lestari,30000,4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.wsrentaljogja.com%2Fgudeg-yu-djum%2F&psig=AOvVaw1hB49j2xT-D2k4eexDs4xE&ust=1728472568259000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNjPzp3U_ogDFQAAAAAdAAAAABAK
Bakpia Pathok matcha,Kue isi matcha khas Jogja,Oleh-oleh,Bakpia Pathok 25 Lestari,30000,4.4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fbob.kemenparekraf.go.id%2F271088-bakpia-pathok-25-yogya-makanan-khas-dengan-rasa-melegenda%2F&psig=AOvVaw2dxV9X0mFEd0J78zCZ7H2e&ust=1728472598076000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDR8qrU_ogDFQAAAAAdAAAAABAQ
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jawa Mbah Mo Raya,14000,4.6,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/31/2023/10/20/bakmi-jawa-gunungkidul-di-bogor-2507743824.jpg
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti Sejahtera,20000,4.9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.koranmemo.com%2Fwisata-travelling%2Fpr-1923697109%2Fresep-oseng-oseng-mercon-bu-narti-kuliner-legendaris-khas-yogyakarta&psig=AOvVaw1BdO_V7prQBVdh6FomfNdL&ust=1728472682596000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMj1ndjU_ogDFQAAAAAdAAAAABAE
Soto Kadipiro,"soto ayam berisi suwiran daging ayam, kubis, seledri, tauge, perkedel dan bawang goreng.",Makanan Berat,Soto Kadipiro,20000,4.1,https://www.google.com/url?sa=i&url=https%3A%2F%2Fvisitingjogja.jogjaprov.go.id%2Fen%2F16089%2Fsoto-kadipiro-2%2F&psig=AOvVaw04xOX8NcAHRfiS34Ms7cf4&ust=1728472974401000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLjp5t_V_ogDFQAAAAAdAAAAABAE
gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Mbok Lindu,23000,4.6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.alisson.id%2Fmalioboro-dan-gudeg-mbok-lindu-tempat-tak-pernah-terlewatkan-kala-di-yogyakarta%2F&psig=AOvVaw1Sm4tVDb8aJMqS58Lp0Yg6&ust=1728473206988000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLCJqc3W_ogDFQAAAAAdAAAAABAE
gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Permata Bu Nart,18000,4.6,https://www.google.com/url?sa=i&url=https%3A%2F%2Funimmafm.com%2Fgudeg-permata-jogja-kuliner-malam-legendaris-yang-populer%2F&psig=AOvVaw3qpqNmjD046h0VjEHSeXjg&ust=1728473253404000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNDDve3W_ogDFQAAAAAdAAAAABAE
Bakpia Pathok Durian,Kue isi durian khas Jogja,Oleh-oleh,Bakpia Pathok 25 Indah,52000,4.9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fshopee.co.id%2FBAKPIA-PATHOK-25-PREMIUM-DURIAN-CEMILAN-DI-SETIAP-ACARA-OLEH-OLEH-KHAS-JOGJA-i.737540989.29653535851&psig=AOvVaw30-AMA44CwvONknPr122Du&ust=1728473516964000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMCJ9ePX_ogDFQAAAAAdAAAAABAE
